year,BIOEST,FEST
1985,84950.93945120258,0.05296939711408663
1986,93414.97611884557,0.05902667129744885
1987,89094.12899541047,0.059310191046725844
1988,78787.48717938077,0.0544384887137848
1989,85785.14943073771,0.06139070520174691
1990,94538.7091929567,0.0756442972968597
1991,84296.22937544381,0.08043855434735193
1992,75099.53620282878,0.08364395772255899
1993,68068.98454714689,0.08889830318816341
1994,61922.63735842568,0.09436813914931001
1995,55328.472132420444,0.09772113300314385
1996,51293.51627604406,0.09957390068315021
1997,47171.28028164662,0.095582557967579
1998,45570.73929780516,0.09241202810135747
1999,54298.44353482405,0.10125474123793372
2000,55478.934724865205,0.10394154384425729
2001,54400.29101497612,0.09036705043316674
2002,54590.06850724453,0.08011940154852348
2003,59947.512199915036,0.07573333836157985
2004,60206.488343558296,0.06392441630076931
2005,61201.728759733836,0.05229369397921933
2006,57160.17841545498,0.0432297981416806
2007,56013.94356027317,0.038042675091018795
2008,50154.7643070702,0.03560357249585501
2009,46190.81781595984,0.03567799148237763
2010,41351.07847743856,0.038722466405987616
2011,37989.981644426785,0.047503084514140176
2012,35228.94153222064,0.061163861003119054
2013,24572.825167889572,0.07066052886918431
2014,17074.465004890233,0.07738202292935992
2015,15400.205073400151,0.08907078408358579
2016,15707.793166609581,0.10408730612788672
2017,15928.63390627827,0.11522814900688627
2018,14826.657906322927,0.11391119781857546
2019,14442.907366187696,0.10460730009240053
2020,12680.922368676716,0.08518144910408894
2021,15595.417102037196,0.08158839169897865
2022,20529.42508783165,0.093455515298683
2023,21003.102070692563,0.09432432074517338
2024,20977.911246419484,0.0943327395864906
