"","year","FFMSY","BBMSY"
"1",1985,3.73223808339601,1.85659185776109
"2",1986,3.89043619189969,1.82553706208508
"3",1987,3.9561169175721,1.7678615291019
"4",1988,3.97408562147823,1.70912634705593
"5",1989,4.41326044335987,1.68390495189522
"6",1990,5.08913541818134,1.6545069623994
"7",1991,5.44341342490481,1.58366806660476
"8",1992,5.5939941181478,1.49958533841219
"9",1993,5.71716575023122,1.41560378472556
"10",1994,5.80008113230705,1.33494238398035
"11",1995,5.8113722436073,1.25727112834095
"12",1996,5.7915850907831,1.18956469687684
"13",1997,5.73746810937568,1.13043729988957
"14",1998,5.90617204118602,1.08435483663412
"15",1999,6.47506875653373,1.04917365126284
"16",2000,6.84312049653038,1.01332289623348
"17",2001,6.67039578220391,0.969646429072819
"18",2002,6.44079363262351,0.929621071584775
"19",2003,6.27738839742067,0.894213003164042
"20",2004,5.79526638997782,0.852219408844457
"21",2005,5.16000616868394,0.808977258577558
"22",2006,4.53692131723142,0.760838358203833
"23",2007,4.05488373866807,0.719588797521294
"24",2008,3.72166240933172,0.690417224205984
"25",2009,3.55657735422405,0.668988222706685
"26",2010,3.58694989919276,0.649017335413991
"27",2011,3.82472692667977,0.630684044587103
"28",2012,4.06070062999764,0.608417266061269
"29",2013,3.9849230029287,0.571719303131135
"30",2014,3.82476238223878,0.538090661737017
"31",2015,3.92128173431222,0.518965717935774
"32",2016,4.22749295533876,0.508650665668405
"33",2017,4.47342734330076,0.497993194335576
"34",2018,4.43770619301157,0.483059220614832
"35",2019,4.1998195526176,0.47030199425274
"36",2020,3.92059234827576,0.460330615912763
"37",2021,4.10976323176472,0.465129923063038
"38",2022,4.66646148276884,0.470718485109739
"39",2023,4.8828899862975,0.461946844952749
"40",2024,4.88945886017149,0.451413743071978
